,Nº LOTE,Município,CURSO,qtd_turmas,qtd_inscritos,qtd_vagas,qtd_concludentes
0,LOTE 12,Caucaia,Assistente Administrativo,18,0.0,375.0,313
1,LOTE 12,Caucaia,Barbeiro Iniciante,2,55.0,60.0,36
2,LOTE 12,Caucaia,Bolos e tortas,3,58.0,60.0,55
3,LOTE 12,Caucaia,Corte de cabelo Unissex,1,25.0,30.0,8
4,LOTE 12,Caucaia,Depilação em Cera,1,20.0,20.0,16
5,LOTE 12,Caucaia,Design Sobrancelhas,2,51.0,60.0,43
6,LOTE 12,Caucaia,Design de Sobrancelhas,2,40.0,40.0,39
7,LOTE 12,Caucaia,Designer de Sobrancelhas,11,0.0,275.0,219
8,LOTE 12,Caucaia,Eletricista,7,0.0,150.0,123
9,LOTE 12,Caucaia,Eletricista Instalador(a) Predial de Baixa Tensão,1,10.0,30.0,9
10,LOTE 12,Caucaia,Eletricista Predial,1,16.0,30.0,8
11,LOTE 12,Caucaia,Faxina,1,0.0,25.0,19
12,LOTE 12,Caucaia,Lanches comerciais,1,19.0,20.0,15
13,LOTE 12,Caucaia,Masseiro,1,20.0,20.0,19
14,LOTE 12,Caucaia,Noções Básicas de Costura,2,0.0,50.0,36
15,LOTE 12,Caucaia,Noções de Segurança do trabaljo,1,31.0,30.0,31
16,LOTE 12,Caucaia,Padaria Amor na Massa - Aço Cearense,1,6.0,20.0,5
17,LOTE 12,Caucaia,Padaria Qualificar +,15,0.0,300.0,235
18,LOTE 12,Caucaia,Produção Sabão Ecológico,2,57.0,60.0,25
19,LOTE 12,Caucaia,Soldador(a) de Aço Carbono por Eletrodo Revestido,1,19.0,30.0,11
20,LOTE 13,Maracanaú,Assistente Administrativo,2,0.0,25.0,20
21,LOTE 13,Maracanaú,Bolos Vendáveis,6,0.0,150.0,133
22,LOTE 13,Maracanaú,Bolos e tortas,2,35.0,40.0,33
23,LOTE 13,Maracanaú,Desenvolvimento de aplicativos para iniciantes,2,24.0,60.0,19
24,LOTE 13,Maracanaú,Designer de Sobrancelhas,1,0.0,25.0,20
25,LOTE 13,Maracanaú,Doces e compotas,1,18.0,20.0,18
26,LOTE 13,Maracanaú,Informática básica,1,14.0,20.0,14
27,LOTE 13,Maracanaú,Instalações Elétricas e Prediais,2,26.0,60.0,16
28,LOTE 13,Maracanaú,Padaria Qualificar +,2,0.0,40.0,40
29,LOTE 13,Maracanaú,Pizzas e Esfirras,6,0.0,150.0,128
30,LOTE 13,Maracanaú,Salgados Comerciais,14,0.0,350.0,322
31,LOTE 13,Maracanaú,Soldador(a) de Aço Carbono por Eletrodo Revestido,1,17.0,30.0,11
32,LOTE 13,Maracanaú,Soldagem,1,15.0,30.0,12
33,LOTE 13,Maracanaú,Soldagem Por Eletrodo Revestido,1,19.0,30.0,19
34,LOTE 14,Guaiúba,Doces e compotas,1,0.0,20.0,0
35,LOTE 14,Guaiúba,Lanches comerciais,1,20.0,20.0,16
36,LOTE 14,Guaiúba,Padaria Amor na Massa - Aço Cearense,1,15.0,20.0,15
37,LOTE 14,Itaitinga,Conserto e Manutenção de Motos,1,0.0,20.0,0
38,LOTE 14,Itaitinga,"Costura em Cama, mesa e Banho",1,0.0,20.0,0
39,LOTE 14,Itaitinga,Lanches comerciais,2,29.0,40.0,29
40,LOTE 14,Itaitinga,Padaria Amor na Massa - Aço Cearense,1,13.0,20.0,12
41,LOTE 14,Itaitinga,Padaria Qualificar +,2,0.0,40.0,36
42,LOTE 14,Maranguape,Assistente Administrativo,1,0.0,0.0,0
43,LOTE 14,Maranguape,Bolos e tortas,1,17.0,20.0,17
44,LOTE 14,Maranguape,Manicure e Pedicure,1,20.0,20.0,18
45,LOTE 14,Maranguape,Padaria Amor na Massa - Aço Cearense,2,36.0,40.0,32
46,LOTE 14,Maranguape,Padaria Qualificar +,1,0.0,20.0,19
47,LOTE 14,Pacatuba,Bolos e tortas,1,20.0,20.0,12
48,LOTE 14,Pacatuba,Design de Sobrancelhas,1,20.0,20.0,16
49,LOTE 14,Pacatuba,Eletricista,1,0.0,25.0,19
50,LOTE 14,Pacatuba,Lanches comerciais,1,20.0,20.0,16
51,LOTE 14,Pacatuba,Padaria Amor na Massa - Aço Cearense,1,18.0,20.0,18
52,LOTE 14,Pacatuba,Padaria Qualificar +,1,0.0,20.0,17
53,LOTE 15,Aquiraz,Padaria Qualificar +,3,0.0,60.0,43
54,LOTE 15,Aquiraz,Processamento e Beneficiamento de Pescado,2,40.0,40.0,37
55,LOTE 15,Aquiraz,Pães que vendem,1,20.0,20.0,20
56,LOTE 15,Cascavel,Lanches comerciais,2,26.0,40.0,26
57,LOTE 15,Cascavel,Padaria Amor na Massa - Aço Cearense,1,17.0,20.0,16
58,LOTE 15,Chorozinho,Bolos e tortas,1,20.0,20.0,18
59,LOTE 15,Chorozinho,Lanches comerciais,1,20.0,20.0,17
60,LOTE 15,Chorozinho,Padaria Amor na Massa - Aço Cearense,1,22.0,20.0,22
61,LOTE 15,Chorozinho,Pães que vendem,2,35.0,40.0,31
62,LOTE 15,Eusébio,Bolos e tortas,1,14.0,20.0,14
63,LOTE 15,Horizonte,Bolos e tortas,2,29.0,40.0,28
64,LOTE 15,Horizonte,Lanches comerciais,1,0.0,20.0,0
65,LOTE 15,Horizonte,Padaria Amor na Massa - Aço Cearense,1,16.0,20.0,16
66,LOTE 15,Horizonte,Padaria Qualifica Ceará,1,20.0,20.0,19
67,LOTE 15,Horizonte,Padaria Qualificar +,1,0.0,20.0,16
68,LOTE 15,Pacajus,Lanches comerciais,1,20.0,20.0,20
69,LOTE 15,Pacajus,Manicure e Pedicure,1,20.0,20.0,19
70,LOTE 15,Pacajus,Padaria Amor na Massa - Aço Cearense,1,16.0,20.0,16
71,LOTE 15,Pacajus,Padaria Qualificar +,1,0.0,20.0,18
72,LOTE 15,Pacajus,Pães que vendem,1,19.0,20.0,18
73,LOTE 15,Pindoretama,Assistente Administrativo,3,0.0,75.0,71
74,LOTE 15,Pindoretama,"Costura em Cama, mesa e Banho",1,20.0,20.0,20
75,LOTE 15,Pindoretama,Noções Básicas de Costura,1,0.0,25.0,21
76,LOTE 15,Pindoretama,Padaria Amor na Massa - Aço Cearense,1,20.0,20.0,20
77,LOTE 15,Pindoretama,Pães que vendem,1,17.0,20.0,17
78,LOTE 16,Paracuru,Pães que vendem,1,20.0,20.0,16
79,LOTE 16,Paracuru,Repositor de Mercadorias,1,20.0,20.0,20
80,LOTE 16,Paraipaba,Pães que vendem,1,14.0,20.0,11
81,LOTE 16,São Gonçalo do Amarante,Cabelereiro Unissex,1,20.0,20.0,17
82,LOTE 16,São Gonçalo do Amarante,Cuidador de Idosos,2,41.0,60.0,25
83,LOTE 16,São Gonçalo do Amarante,Fotos e Edição de Vídeos no Celular,1,20.0,20.0,16
84,LOTE 16,São Gonçalo do Amarante,Informática Básica para o Trabalho,1,17.0,30.0,13
85,LOTE 16,São Gonçalo do Amarante,Informática básica,1,17.0,20.0,14
86,LOTE 16,São Gonçalo do Amarante,Masseiro,1,20.0,20.0,19
87,LOTE 16,São Gonçalo do Amarante,Padaria Qualifica Ceará,1,16.0,20.0,14
88,LOTE 16,São Luís do Curu,Padaria Qualifica Ceará,1,25.0,20.0,21
89,LOTE 16,Trairi,Informática básica,1,20.0,20.0,18
90,LOTE 17,Aracati,Maquiagem,1,20.0,20.0,9
91,LOTE 17,Aracati,Padaria Qualifica Ceará,1,18.0,20.0,18
92,LOTE 17,Aracati,Pães que vendem,2,40.0,40.0,39
93,LOTE 17,Beberibe,Padaria Qualifica Ceará,1,20.0,20.0,19
94,LOTE 17,Beberibe,Pães que vendem,1,19.0,20.0,19
95,LOTE 17,Fortim,Escovista Iniciante,1,20.0,20.0,20
96,LOTE 17,Itaiçaba,Padaria Qualifica Ceará,1,20.0,20.0,16
97,LOTE 17,Itaiçaba,Pães que vendem,1,20.0,20.0,19
98,LOTE 17,Jaguaruana,Montador de Plataforma Fotovoltaico,7,210.0,175.0,120
99,LOTE 17,Jaguaruana,Padaria Qualifica Ceará,1,20.0,20.0,20
100,LOTE 17,Jaguaruana,Pães que vendem,1,20.0,20.0,20
101,LOTE 18,Camocim,Padaria Qualifica Ceará,1,18.0,20.0,18
102,LOTE 18,Chaval,Bolos e tortas,1,20.0,20.0,18
103,LOTE 18,Granja,Bolos e tortas,1,0.0,20.0,0
104,LOTE 18,Granja,Padaria Qualifica Ceará,1,20.0,20.0,20
105,LOTE 19,Acaraú,Bolos e tortas,1,19.0,20.0,17
106,LOTE 19,Acaraú,Padaria Qualifica Ceará,1,19.0,20.0,19
107,LOTE 19,Bela Cruz,Pães que vendem,1,20.0,20.0,20
108,LOTE 19,Cruz,Doces e compotas,1,20.0,20.0,16
109,LOTE 19,Itarema,Adesivagem e Envelopamento para Eletrodoméstico,1,20.0,20.0,10
110,LOTE 19,Itarema,Lanches comerciais,1,22.0,20.0,20
111,LOTE 19,Itarema,Padaria Qualifica Ceará,1,19.0,20.0,19
112,LOTE 19,Jijoca de Jericoacoara,Padaria Qualifica Ceará,1,17.0,20.0,17
113,LOTE 19,Jijoca de Jericoacoara,Pães que vendem,1,20.0,20.0,18
114,LOTE 19,Marco,Lanches comerciais,1,20.0,20.0,16
115,LOTE 19,Morrinhos,Pães que vendem,1,21.0,20.0,19
116,LOTE 20,Amontada,Pães que vendem,1,19.0,20.0,16
117,LOTE 20,Itapipoca,Bolos e tortas,1,19.0,20.0,15
118,LOTE 20,Itapipoca,Drinques e Coquetéis,2,40.0,40.0,38
119,LOTE 20,Itapipoca,Padaria Qualifica Ceará,2,40.0,40.0,37
120,LOTE 20,Itapipoca,Pães que vendem,2,34.0,40.0,29
121,LOTE 20,Itapipoca,"TRILHA ""Quero Empreender""",1,0.0,0.0,18
122,LOTE 20,Miraíma,Lanches comerciais,1,20.0,20.0,18
123,LOTE 20,Miraíma,Padaria Qualifica Ceará,1,20.0,20.0,19
124,LOTE 20,Miraíma,Penteado Básico,1,20.0,20.0,20
125,LOTE 20,Tururu,Lanches comerciais,1,22.0,20.0,22
126,LOTE 21,Apuiarés,Conserto e Manutenção de Bike,1,0.0,0.0,0
127,LOTE 21,General Sampaio,Bolos e tortas,1,20.0,20.0,18
128,LOTE 21,Irauçuba,Lanches comerciais,1,19.0,20.0,14
129,LOTE 21,Irauçuba,Sanduiches e Hambúrgueres,1,20.0,20.0,18
130,LOTE 21,Itapajé,Bolos e tortas,1,20.0,20.0,18
131,LOTE 21,Itapajé,"Caldos, Sopas e Consumes",1,19.0,20.0,19
132,LOTE 21,Pentecoste,Alongamento de Unhas em Acrigel,1,20.0,20.0,20
133,LOTE 21,Pentecoste,Manutenção e Conserto de Máquinas de Costura,1,20.0,20.0,17
134,LOTE 21,Umirim,Bolos e tortas,1,30.0,20.0,26
135,LOTE 21,Umirim,Comida de Rua,1,19.0,20.0,19
136,LOTE 21,Umirim,Padaria Qualifica Ceará,1,20.0,20.0,20
137,LOTE 21,Uruburetama,Confeiteiro,1,30.0,30.0,24
138,LOTE 21,Uruburetama,Eletricista De Sistema De Energias Renováveis,1,30.0,30.0,22
139,LOTE 21,Uruburetama,Padaria Qualifica Ceará,1,16.0,20.0,15
140,LOTE 22,Farias Brito,Padaria Qualifica Ceará,2,40.0,40.0,39
141,LOTE 22,Juazeiro do Norte,Adesivagem e Envelopamento para Eletrodoméstico,1,20.0,20.0,12
142,LOTE 22,Juazeiro do Norte,Barwoman,1,19.0,0.0,13
143,LOTE 22,Juazeiro do Norte,Eletricista Instalador Predial,2,61.0,60.0,50
144,LOTE 22,Juazeiro do Norte,Padaria Qualifica Ceará,3,52.0,60.0,51
145,LOTE 22,Juazeiro do Norte,Pães que vendem,2,40.0,40.0,40
146,LOTE 22,Juazeiro do Norte,"Turismo: Recepcionista, Camareira e Guia para Mulheres",1,15.0,20.0,15
147,LOTE 23,Abaiara,Pães que vendem,1,20.0,20.0,20
148,LOTE 23,Barbalha,Adesivagem e Envelopamento para Eletrodoméstico,1,20.0,20.0,13
149,LOTE 23,Barbalha,Padaria Qualifica Ceará,2,40.0,40.0,38
150,LOTE 23,Crato,Assistente Administrativo,1,0.0,20.0,0
151,LOTE 23,Crato,Bolos e tortas,2,40.0,40.0,39
152,LOTE 23,Crato,Conserto e Manutenção de Motos,1,0.0,20.0,0
153,LOTE 23,Crato,Manicure e Pedicure,1,20.0,20.0,20
154,LOTE 23,Crato,Marketing Digital,1,20.0,20.0,19
155,LOTE 23,Crato,Padaria Qualifica Ceará,2,40.0,40.0,40
156,LOTE 24,Aurora,Lanches comerciais,1,20.0,20.0,20
157,LOTE 24,Barro,Padaria Qualifica Ceará,1,20.0,20.0,18
158,LOTE 24,Brejo Santo,Pães que vendem,1,20.0,20.0,20
159,LOTE 24,Jati,Lanches comerciais,1,20.0,20.0,20
160,LOTE 24,Lavras da Mangabeira,Doces e compotas,1,20.0,20.0,17
161,LOTE 24,Mauriti,Manicure e Pedicure,1,20.0,20.0,19
162,LOTE 24,Mauriti,Padaria Qualifica Ceará,1,18.0,20.0,17
163,LOTE 24,Milagres,Confeiteiro Doces e Salgados,1,20.0,20.0,13
164,LOTE 24,Milagres,Lanches comerciais,1,20.0,20.0,19
165,LOTE 24,Penaforte,Pães que vendem,1,18.0,20.0,17
166,LOTE 24,Porteiras,Padaria Qualifica Ceará,1,13.0,20.0,12
167,LOTE 25,Assaré,Padaria Qualifica Ceará,1,16.0,20.0,16
168,LOTE 25,Campos Sales,Padaria Qualifica Ceará,1,16.0,20.0,13
169,LOTE 25,Nova Olinda,Lanches comerciais,1,20.0,20.0,17
170,LOTE 25,Potengi,Pães que vendem,1,20.0,20.0,18
171,LOTE 25,Salitre,Pães que vendem,1,20.0,20.0,20
172,LOTE 25,Santana do Cariri,Eletricista Instalador Predial,2,60.0,60.0,54
173,LOTE 25,Santana do Cariri,Empreendendor do ramo da beleza voltado para corte de cabelo,1,32.0,30.0,32
174,LOTE 25,Santana do Cariri,Pães que vendem,1,20.0,20.0,16
175,LOTE 26,Acopiara,Organização de eventos,1,0.0,20.0,0
176,LOTE 26,Acopiara,Pães que vendem,1,14.0,20.0,5
